empresa,area_departamento,antiguedad_anios,posicionamiento_salarial,evaluacion_global,movilidad_funcional_sn,tipo_contrato,rotacion_voluntaria,tramo_antiguedad
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,32.84,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,32.7,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,32.66,Entre el medio y el punto máximo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,32.58,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,32.1,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.91,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.91,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.84,Entre el punto mínimo y el punto medio de la banda,4,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.24,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,31.08,Por encima del máximo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.0,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.0,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,31.0,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,30.92,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,30.84,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,30.74,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,30.65,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,30.0,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.81,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.52,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.4,Entre el medio y el punto máximo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.33,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.13,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.13,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,29.13,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,28.96,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,28.73,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,28.66,Por encima del máximo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,28.04,Por encima del máximo de la banda,3,Sí,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,28.02,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,27.84,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,27.84,Entre el medio y el punto máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,27.58,Por debajo del mínimo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,27.2,Entre el punto mínimo y el punto medio de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.87,Entre el medio y el punto máximo de la banda,5,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.74,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.68,Entre el medio y el punto máximo de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.64,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.55,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.53,Por encima del máximo de la banda,3,Sí,Fijo,0,Más de 15 años
MAPFRE S.A.,AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.33,Por encima del máximo de la banda,5,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.25,Entre el punto mínimo y el punto medio de la banda,4,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,26.23,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.91,Por debajo del mínimo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.74,Entre el punto mínimo y el punto medio de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.71,Por debajo del mínimo de la banda,3,Sí,Fijo,0,Más de 15 años
MAPFRE S.A.,DIRECCION CORPORATIVA DE SEGURIDAD,25.67,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.63,Por encima del máximo de la banda,2,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.42,Por encima del máximo de la banda,3,No,Fijo,0,Más de 15 años
"MAPFRE TECH, S.A.",AREA CORPORATIVA DE TECNOLOGIA Y DEL DATO,25.27,Por encima del máximo de la banda,Sin Evaluación,No,Fijo,0,Más de 15 años
